Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2017-04-26 00:00:00;Sunny;5.5;0;;
;2017-04-27 00:00:00;Sunny;5.5;0.9;;
;2017-04-28 00:00:00;Partly cloudy;6.5;0.5;;
;2017-04-29 00:00:00;Sunny;9;0;;
;2017-04-30 00:00:00;Overcast;10;3.2;;
;2017-05-01 00:00:00;Partly cloudy;10;2.8;;
;2017-05-02 00:00:00;Cloudy;11;1.3;;
;2017-05-03 00:00:00;Partly cloudy;10.5;2.2;;
;2017-05-04 00:00:00;Partly cloudy;11;0.2;;
;2017-05-05 00:00:00;Partly cloudy;12.5;0.5;;
;2017-05-06 00:00:00;Partly cloudy;13.5;9.6;;
;2017-05-07 00:00:00;Mist;11.5;0.9;;
;2017-05-08 00:00:00;Cloudy;10;0;;
;2017-05-09 00:00:00;Sunny;11;0;;
;2017-05-10 00:00:00;Sunny;13.5;0;;
;2017-05-11 00:00:00;Cloudy;13;4.8;;
;2017-05-12 00:00:00;Thundery outbreaks possible;14.5;1.5;;
;2017-05-13 00:00:00;Partly cloudy;14;0.5;;
;2017-05-14 00:00:00;Sunny;14;0;;
;2017-05-15 00:00:00;Partly cloudy;16;0.1;;
;2017-05-16 00:00:00;Partly cloudy;20;0;;
;2017-05-17 00:00:00;Sunny;19.5;4.6;;
;2017-05-18 00:00:00;Overcast;11.5;7.2;;
;2017-05-19 00:00:00;Partly cloudy;10.5;2.5;;
;2017-05-20 00:00:00;Patchy rain possible;11;0.6;;
;2017-05-21 00:00:00;Sunny;12.5;0;;
;2017-05-22 00:00:00;Partly cloudy;17.5;0;;
;2017-05-23 00:00:00;Partly cloudy;16.5;0;;
;2017-05-24 00:00:00;Partly cloudy;19;0;;
;2017-05-25 00:00:00;Sunny;19.5;0;;
;2017-05-26 00:00:00;Sunny;22.5;0;;
;2017-05-27 00:00:00;Sunny;21;0.1;;
;2017-05-28 00:00:00;Partly cloudy;23.5;0;;
;2017-05-29 00:00:00;Partly cloudy;18;3.8;;
;2017-05-30 00:00:00;Partly cloudy;16.5;0.5;;
;2017-05-31 00:00:00;Partly cloudy;17;0.7;;
;2017-06-01 00:00:00;Sunny;19.5;1.9;;
;2017-06-02 00:00:00;Sunny;20;1.1;;
;2017-06-03 00:00:00;Cloudy;14.5;2.1;;
;2017-06-04 00:00:00;Cloudy;15;0;;
;2017-06-05 00:00:00;Sunny;14.5;0.3;;
;2017-06-06 00:00:00;Patchy rain possible;13.5;5.9;;
;2017-06-07 00:00:00;Partly cloudy;13.5;0.2;;
;2017-06-08 00:00:00;Sunny;18.5;0.1;;
;2017-06-09 00:00:00;Partly cloudy;17.5;0;;
;2017-06-10 00:00:00;Sunny;17;0;;
;2017-06-11 00:00:00;Sunny;20;0;;
;2017-06-12 00:00:00;Sunny;17;0;;
;2017-06-13 00:00:00;Partly cloudy;17.5;0.4;;
;2017-06-14 00:00:00;Thundery outbreaks possible;21;0.8;;
;2017-06-15 00:00:00;Sunny;20.5;0;;
;2017-06-16 00:00:00;Sunny;18.5;0;;
;2017-06-17 00:00:00;Sunny;19.5;0;;
;2017-06-18 00:00:00;Sunny;23;0;;
;2017-06-19 00:00:00;Sunny;25.5;0;;
;2017-06-20 00:00:00;Sunny;27;0;;
;2017-06-21 00:00:00;Sunny;25.5;0.1;;
;2017-06-22 00:00:00;Sunny;23.5;0;;
;2017-06-23 00:00:00;Overcast;18.5;0;;
;2017-06-24 00:00:00;Cloudy;17;0;;
;2017-06-25 00:00:00;Cloudy;18.5;0;;
;2017-06-26 00:00:00;Partly cloudy;20;0.1;;
;2017-06-27 00:00:00;Partly cloudy;19.5;3.5;;
;2017-06-28 00:00:00;Overcast;18;5;;
;2017-06-29 00:00:00;Partly cloudy;16;2.9;;
;2017-06-30 00:00:00;Overcast;13.5;2.9;;
;2017-07-01 00:00:00;Overcast;14.5;0.3;;
;2017-07-02 00:00:00;Cloudy;15.5;0.7;;
;2017-07-03 00:00:00;Cloudy;19;0;;
;2017-07-04 00:00:00;Sunny;20.5;0;;
;2017-07-05 00:00:00;Sunny;24.5;0;;
;2017-07-06 00:00:00;Sunny;24;0;;
;2017-07-07 00:00:00;Sunny;24;0;;
;2017-07-08 00:00:00;Partly cloudy;24;0.3;;
;2017-07-09 00:00:00;Sunny;22.5;9.2;;
;2017-07-10 00:00:00;Cloudy;18.5;2;;
;2017-07-11 00:00:00;Partly cloudy;19;0.2;;
;2017-07-12 00:00:00;Overcast;19.5;0.5;;
;2017-07-13 00:00:00;Partly cloudy;19;0.5;;
;2017-07-14 00:00:00;Sunny;17.5;0;;
;2017-07-15 00:00:00;Sunny;18;0;;
;2017-07-16 00:00:00;Sunny;21.5;0;;
;2017-07-17 00:00:00;Sunny;23.5;0;;
;2017-07-18 00:00:00;Sunny;26.5;0;;
;2017-07-19 00:00:00;Cloudy;20.5;0.3;;
;2017-07-20 00:00:00;Partly cloudy;17;0.1;;
;2017-07-21 00:00:00;Cloudy;16;0;;
;2017-07-22 00:00:00;Partly cloudy;17.5;2.5;;
;2017-07-23 00:00:00;Overcast;16;1.4;;
;2017-07-24 00:00:00;Cloudy;16.5;0.4;;
;2017-07-25 00:00:00;Overcast;17.5;0.7;;
;2017-07-26 00:00:00;Overcast;18;1.1;;
;2017-07-27 00:00:00;Partly cloudy;17.5;0.5;;
;2017-07-28 00:00:00;Sunny;16.5;0;;
;2017-07-29 00:00:00;Partly cloudy;20;0.3;;
;2017-07-30 00:00:00;Partly cloudy;19;0.6;;
;2017-07-31 00:00:00;Partly cloudy;18;0;;
;2017-08-01 00:00:00;Partly cloudy;20;0.1;;
;2017-08-02 00:00:00;Partly cloudy;20;0;;
;2017-08-03 00:00:00;Partly cloudy;20;0.2;;
;2017-08-04 00:00:00;Cloudy;18.5;0.5;;
;2017-08-05 00:00:00;Sunny;17;0;;
;2017-08-06 00:00:00;Sunny;16.5;0;;
;2017-08-07 00:00:00;Sunny;19;0;;
;2017-08-08 00:00:00;Light rain shower;16;4.8;;
;2017-08-09 00:00:00;Light rain shower;15;2.9;;
;2017-08-10 00:00:00;Mist;15;1.7;;
;2017-08-11 00:00:00;Partly cloudy;16.5;0.2;;
;2017-08-12 00:00:00;Overcast;15.5;0;;
;2017-08-13 00:00:00;Sunny;18;0;;
;2017-08-14 00:00:00;Sunny;21.5;0;;
;2017-08-15 00:00:00;Overcast;20.5;4.3;;
;2017-08-16 00:00:00;Sunny;20;0;;
;2017-08-17 00:00:00;Overcast;20.5;0.6;;
;2017-08-18 00:00:00;Sunny;18;10.1;;
;2017-08-19 00:00:00;Sunny;15.5;0;;
;2017-08-20 00:00:00;Sunny;17;0;;
;2017-08-21 00:00:00;Partly cloudy;21;0;;
;2017-08-22 00:00:00;Sunny;24;0;;
;2017-08-23 00:00:00;Sunny;21.5;0;;
;2017-08-24 00:00:00;Partly cloudy;21.5;0;;
;2017-08-25 00:00:00;Sunny;22.5;0;;
;2017-08-26 00:00:00;Sunny;22.5;0.5;;
;2017-08-27 00:00:00;Sunny;25.5;1.6;;
;2017-08-28 00:00:00;Sunny;27;0;;
;2017-08-29 00:00:00;Sunny;26.5;0.3;;
;2017-08-30 00:00:00;Overcast;16;0.9;;
;2017-08-31 00:00:00;Partly cloudy;14.5;0.6;;
;2017-09-01 00:00:00;Overcast;15;1.7;;
;2017-09-02 00:00:00;Sunny;15.5;0;;
;2017-09-03 00:00:00;Overcast;15.5;1.6;;
;2017-09-04 00:00:00;Partly cloudy;19.5;0.3;;
;2017-09-05 00:00:00;Cloudy;18.5;0.3;;
;2017-09-06 00:00:00;Cloudy;15;0.1;;
;2017-09-07 00:00:00;Cloudy;15;0.1;;
;2017-09-08 00:00:00;Overcast;15.5;19.3;;
;2017-09-09 00:00:00;Partly cloudy;14.5;0.8;;
;2017-09-10 00:00:00;Partly cloudy;14.5;0.3;;
;2017-09-11 00:00:00;Partly cloudy;15;0.4;;
;2017-09-12 00:00:00;Sunny;14.5;0.2;;
;2017-09-13 00:00:00;Overcast;17.5;3.8;;
;2017-09-14 00:00:00;Partly cloudy;14;1.3;;
;2017-09-15 00:00:00;Sunny;12.5;0;;
;2017-09-16 00:00:00;Cloudy;12;0.1;;
;2017-09-17 00:00:00;Mist;12.5;2.6;;
;2017-09-18 00:00:00;Sunny;12.5;0.4;;
;2017-09-19 00:00:00;Partly cloudy;13.5;0.1;;
;2017-09-20 00:00:00;Sunny;14;0;;
;2017-09-21 00:00:00;Sunny;16.5;0;;
;2017-09-22 00:00:00;Sunny;14.5;0;;
;2017-09-23 00:00:00;Sunny;16;0;;
;2017-09-24 00:00:00;Sunny;19;0;;
;2017-09-25 00:00:00;Mist;17;3;;
;2017-09-26 00:00:00;Cloudy;16;0.1;;
;2017-09-27 00:00:00;Sunny;17;0;;
;2017-09-28 00:00:00;Partly cloudy;19.5;0.2;;
;2017-09-29 00:00:00;Sunny;18.5;0.5;;
;2017-09-30 00:00:00;Partly cloudy;15.5;0.4;;
;2017-10-01 00:00:00;Overcast;16.5;1.6;;
;2017-10-02 00:00:00;Overcast;18;0.2;;
;2017-10-03 00:00:00;Sunny;15;0;;
;2017-10-04 00:00:00;Sunny;14;0;;
;2017-10-05 00:00:00;Sunny;13.5;0;;
;2017-10-06 00:00:00;Mist;10;0;;
;2017-10-07 00:00:00;Sunny;12.5;0;;
;2017-10-08 00:00:00;Overcast;14.5;1;;
;2017-10-09 00:00:00;Partly cloudy;14;0;;
;2017-10-10 00:00:00;Cloudy;15;0;;
;2017-10-11 00:00:00;Sunny;16;0;;
;2017-10-12 00:00:00;Cloudy;17;0.2;;
;2017-10-13 00:00:00;Sunny;17;0;;
;2017-10-14 00:00:00;Sunny;17.5;0;;
;2017-10-15 00:00:00;Sunny;19;0;;
;2017-10-16 00:00:00;Sunny;19.5;0;;
;2017-10-17 00:00:00;Sunny;18;0;;
;2017-10-18 00:00:00;Partly cloudy;19.5;2.8;;
;2017-10-19 00:00:00;Partly cloudy;17;1;;
;2017-10-20 00:00:00;Sunny;14;0;;
;2017-10-21 00:00:00;Sunny;14;0.2;;
;2017-10-22 00:00:00;Cloudy;12;0;;
;2017-10-23 00:00:00;Light drizzle;12.5;0.6;;
;2017-10-24 00:00:00;Partly cloudy;17;0.6;;
;2017-10-25 00:00:00;Sunny;17;0;;
;2017-10-26 00:00:00;Sunny;17.5;0;;
;2017-10-27 00:00:00;Partly cloudy;14;0;;
;2017-10-28 00:00:00;Sunny;11;0;;
;2017-10-29 00:00:00;Overcast;11.5;0;;
;2017-10-30 00:00:00;Sunny;9;0;;
;2017-10-31 00:00:00;Sunny;8.5;0;;
;2017-11-01 00:00:00;Overcast;10.5;0;;
;2017-11-02 00:00:00;Partly cloudy;14.5;0;;
;2017-11-03 00:00:00;Sunny;14.5;0;;
;2017-11-04 00:00:00;Cloudy;13;2.9;;
;2017-11-05 00:00:00;Sunny;8.5;0;;
;2017-11-06 00:00:00;Sunny;7.5;0;;
;2017-11-07 00:00:00;Sunny;6;1.6;;
;2017-11-08 00:00:00;Overcast;7.5;3.6;;
;2017-11-09 00:00:00;Overcast;9;0.3;;
;2017-11-10 00:00:00;Overcast;10.5;0.3;;
;2017-11-11 00:00:00;Overcast;10.5;0.8;;
;2017-11-12 00:00:00;Partly cloudy;9;0;;
;2017-11-13 00:00:00;Sunny;6.5;0;;
;2017-11-14 00:00:00;Sunny;6;0;;
;2017-11-15 00:00:00;Sunny;7;0;;
;2017-11-16 00:00:00;Partly cloudy;7;0;;
;2017-11-17 00:00:00;Sunny;7.5;0;;
;2017-11-18 00:00:00;Sunny;7;0;;
;2017-11-19 00:00:00;Overcast;6.5;0;;
;2017-11-20 00:00:00;Partly cloudy;9;0;;
;2017-11-21 00:00:00;Cloudy;8.5;0;;
;2017-11-22 00:00:00;Sunny;9.5;0;;
;2017-11-23 00:00:00;Cloudy;14.5;0;;
;2017-11-24 00:00:00;Overcast;11;0.3;;
;2017-11-25 00:00:00;Sunny;6;0.1;;
;2017-11-26 00:00:00;Partly cloudy;5;0;;
;2017-11-27 00:00:00;Partly cloudy;6.5;0;;
;2017-11-28 00:00:00;Sunny;7;5.9;;
;2017-11-29 00:00:00;Partly cloudy;4;0;;
;2017-11-30 00:00:00;Partly cloudy;3;1;;
;2017-12-01 00:00:00;Sunny;3;0.3;;
;2017-12-02 00:00:00;Sunny;1.5;0;;
;2017-12-03 00:00:00;Overcast;2.5;0.9;;
;2017-12-04 00:00:00;Cloudy;6.5;0.1;;
;2017-12-05 00:00:00;Partly cloudy;7;0.1;;
;2017-12-06 00:00:00;Sunny;3.5;0;;
;2017-12-07 00:00:00;Cloudy;5.5;2.1;;
;2017-12-08 00:00:00;Sunny;4.5;0;;
;2017-12-09 00:00:00;Overcast;3.5;1.8;;
;2017-12-10 00:00:00;Cloudy;8.5;5.3;;
;2017-12-11 00:00:00;Partly cloudy;7;2.8;;
;2017-12-12 00:00:00;Partly cloudy;4;0;;
;2017-12-13 00:00:00;Overcast;8;2;;
;2017-12-14 00:00:00;Overcast;8;1.8;;
;2017-12-15 00:00:00;Sunny;6;0.1;;
;2017-12-16 00:00:00;Sunny;4;0;;
;2017-12-17 00:00:00;Mist;5.5;1.3;;
;2017-12-18 00:00:00;Sunny;7;1;;
;2017-12-19 00:00:00;Sunny;4;0;;
;2017-12-20 00:00:00;Partly cloudy;5;0;;
;2017-12-21 00:00:00;Cloudy;8;0.3;;
;2017-12-22 00:00:00;Overcast;7.5;0.3;;
;2017-12-23 00:00:00;Cloudy;7;0;;
;2017-12-24 00:00:00;Cloudy;7.5;0.1;;
;2017-12-25 00:00:00;Partly cloudy;4.5;0;;
;2017-12-26 00:00:00;Overcast;7;3.6;;
;2017-12-27 00:00:00;Partly cloudy;4.5;0;;
;2017-12-28 00:00:00;Partly cloudy;3;0;;
;2017-12-29 00:00:00;Overcast;8;1.7;;
;2017-12-30 00:00:00;Overcast;12.5;7;;
;2017-12-31 00:00:00;Partly cloudy;10.5;4.8;;
;2018-01-01 00:00:00;Overcast;8.5;6.1;;
;2018-01-02 00:00:00;Light drizzle;9.5;1;;
;2018-01-03 00:00:00;Overcast;12.5;3.6;;
;2018-01-04 00:00:00;Overcast;12;1.6;;
;2018-01-05 00:00:00;Cloudy;9;0.1;;
;2018-01-06 00:00:00;Overcast;7;0;;
;2018-01-07 00:00:00;Overcast;7.5;3.6;;
;2018-01-08 00:00:00;Partly cloudy;6.5;0;;
;2018-01-09 00:00:00;Cloudy;7;0.3;;
;2018-01-10 00:00:00;Sunny;8;0.8;;
;2018-01-11 00:00:00;Partly cloudy;7.5;0;;
;2018-01-12 00:00:00;Partly cloudy;5;0;;
;2018-01-13 00:00:00;Overcast;4.5;0;;
;2018-01-14 00:00:00;Partly cloudy;6.5;0;;
;2018-01-15 00:00:00;Cloudy;7;4.2;;
;2018-01-16 00:00:00;Overcast;9.5;1.3;;
;2018-01-17 00:00:00;Partly cloudy;6.5;0.1;;
;2018-01-18 00:00:00;Overcast;9.5;1.1;;
;2018-01-19 00:00:00;Sunny;6.5;0.7;;
;2018-01-20 00:00:00;Overcast;9;11.8;;
;2018-01-21 00:00:00;Overcast;10;0.6;;
;2018-01-22 00:00:00;Overcast;10.5;1.6;;
;2018-01-23 00:00:00;Cloudy;10.5;0.5;;
;2018-01-24 00:00:00;Cloudy;11.5;0.3;;
;2018-01-25 00:00:00;Mist;8;3.9;;
;2018-01-26 00:00:00;Partly cloudy;6;0;;
;2018-01-27 00:00:00;Sunny;4.5;0;;
;2018-01-28 00:00:00;Overcast;8;0.1;;
;2018-01-29 00:00:00;Cloudy;9.5;0.2;;
;2018-01-30 00:00:00;Overcast;8.5;0;;
;2018-01-31 00:00:00;Overcast;7.5;6.2;;
;2018-02-01 00:00:00;Partly cloudy;5;0.3;;
;2018-02-02 00:00:00;Sunny;4;0;;
;2018-02-03 00:00:00;Overcast;3;3.1;;
;2018-02-04 00:00:00;Overcast;2;0.8;;
;2018-02-05 00:00:00;Sunny;0.5;0;;
;2018-02-06 00:00:00;Overcast;1;1.8;;
;2018-02-07 00:00:00;Overcast;-1;1;;
;2018-02-08 00:00:00;Sunny;-0.5;0;;
;2018-02-09 00:00:00;Overcast;1.5;2.6;;
;2018-02-10 00:00:00;Sunny;2.5;1.3;;
;2018-02-11 00:00:00;Overcast;5;1.2;;
;2018-02-12 00:00:00;Sunny;3;0;;
;2018-02-13 00:00:00;Overcast;2.5;1.3;;
;2018-02-14 00:00:00;Overcast;5;5.5;;
;2018-02-15 00:00:00;Overcast;9.5;1.7;;
;2018-02-16 00:00:00;Sunny;6;0.4;;
;2018-02-17 00:00:00;Partly cloudy;7;4;;
;2018-02-18 00:00:00;Cloudy;6.5;0.5;;
;2018-02-19 00:00:00;Overcast;6.5;0.4;;
;2018-02-20 00:00:00;Overcast;7.5;0.5;;
;2018-02-21 00:00:00;Sunny;3.5;0.1;;
;2018-02-22 00:00:00;Sunny;2;0;;
;2018-02-23 00:00:00;Sunny;1.5;0;;
;2018-02-24 00:00:00;Sunny;1.5;0;;
;2018-02-25 00:00:00;Sunny;1;0;;
;2018-02-26 00:00:00;Sunny;-1.5;0;;
;2018-02-27 00:00:00;Partly cloudy;-3;0;;
;2018-02-28 00:00:00;Overcast;-2.5;1.3;;
;2018-03-01 00:00:00;Overcast;3.5;1.6;;
;2018-03-02 00:00:00;Sunny;6.5;4.2;;
;2018-03-03 00:00:00;Sunny;8;6.9;;
;2018-03-04 00:00:00;Sunny;8;3.5;;
;2018-03-05 00:00:00;Partly cloudy;8;0;;
;2018-03-06 00:00:00;Partly cloudy;7;1.8;;
;2018-03-07 00:00:00;Sunny;7;0.4;;
;2018-03-08 00:00:00;Partly cloudy;8.5;0.3;;
;2018-03-09 00:00:00;Partly cloudy;11;0.2;;
;2018-03-10 00:00:00;Cloudy;14;4.2;;
;2018-03-11 00:00:00;Partly cloudy;12;0;;
;2018-03-12 00:00:00;Overcast;10;1.4;;
;2018-03-13 00:00:00;Sunny;8.5;0;;
;2018-03-14 00:00:00;Sunny;10;2.5;;
;2018-03-15 00:00:00;Mist;9.5;1.9;;
;2018-03-16 00:00:00;Cloudy;8;1;;
;2018-03-17 00:00:00;Partly cloudy;6;0.5;;
;2018-03-18 00:00:00;Overcast;5;0.4;;
;2018-03-19 00:00:00;Partly cloudy;1.5;0.8;;
;2018-03-20 00:00:00;Sunny;2.5;0.1;;
;2018-03-21 00:00:00;Sunny;3;0;;
;2018-03-22 00:00:00;Partly cloudy;4;0;;
;2018-03-23 00:00:00;Overcast;5;0.4;;
;2018-03-24 00:00:00;Overcast;8;0;;
;2018-03-25 00:00:00;Partly cloudy;10;0;;
;2018-03-26 00:00:00;Cloudy;9.5;0.9;;
;2018-03-27 00:00:00;Overcast;10;3.5;;
;2018-03-28 00:00:00;Overcast;8.5;5.9;;
;2018-03-29 00:00:00;Partly cloudy;7;2.1;;
;2018-03-30 00:00:00;Partly cloudy;8;1.4;;
;2018-03-31 00:00:00;Mist;6.5;1.6;;
;2018-04-01 00:00:00;Cloudy;6.5;0.3;;
;2018-04-02 00:00:00;Overcast;10;0.7;;
;2018-04-03 00:00:00;Overcast;10;3.8;;
;2018-04-04 00:00:00;Cloudy;10;0.6;;
;2018-04-05 00:00:00;Partly cloudy;8.5;0.1;;
;2018-04-06 00:00:00;Sunny;13.5;0;;
;2018-04-07 00:00:00;Cloudy;13.5;3;;
;2018-04-08 00:00:00;Overcast;13;0.9;;
;2018-04-09 00:00:00;Cloudy;11.5;2.3;;
;2018-04-10 00:00:00;Cloudy;10.5;1.3;;
;2018-04-11 00:00:00;Partly cloudy;11;0.5;;
;2018-04-12 00:00:00;Cloudy;12;2.2;;
;2018-04-13 00:00:00;Partly cloudy;12;2.6;;
;2018-04-14 00:00:00;Mist;12;3.3;;
;2018-04-15 00:00:00;Sunny;12;0.7;;
;2018-04-16 00:00:00;Partly cloudy;11;0.1;;
;2018-04-17 00:00:00;Sunny;14;0;;
;2018-04-18 00:00:00;Sunny;17;0;;
;2018-04-19 00:00:00;Sunny;19;0;;
;2018-04-20 00:00:00;Sunny;20.5;0;;
;2018-04-21 00:00:00;Sunny;20.5;5.5;;
;2018-04-22 00:00:00;Partly cloudy;18.5;3;;
;2018-04-23 00:00:00;Cloudy;13;0;;
;2018-04-24 00:00:00;Sunny;13.5;0;;
;2018-04-25 00:00:00;Overcast;11.5;0.6;;
;2018-04-26 00:00:00;Sunny;9.5;0.3;;
;2018-04-27 00:00:00;Cloudy;10.5;0.2;;
;2018-04-28 00:00:00;Partly cloudy;10.5;0.3;;
;2018-04-29 00:00:00;Overcast;9.5;9.4;;
;2018-04-30 00:00:00;Overcast;7;4.7;;
;2018-05-01 00:00:00;Sunny;8.5;0;;
;2018-05-02 00:00:00;Cloudy;8.5;0.1;;
;2018-05-03 00:00:00;Sunny;10;0;;
;2018-05-04 00:00:00;Sunny;11.5;0;;
;2018-05-05 00:00:00;Sunny;15;0;;
;2018-05-06 00:00:00;Sunny;18.5;0.9;;
;2018-05-07 00:00:00;Sunny;21;0;;
;2018-05-08 00:00:00;Sunny;18;0.7;;
;2018-05-09 00:00:00;Partly cloudy;14;0;;
;2018-05-10 00:00:00;Partly cloudy;12;0.1;;
;2018-05-11 00:00:00;Sunny;13.5;0;;
;2018-05-12 00:00:00;Fog;9.5;5.7;;
;2018-05-13 00:00:00;Partly cloudy;10;1.1;;
;2018-05-14 00:00:00;Cloudy;10.5;2.6;;
;2018-05-15 00:00:00;Sunny;14.5;0.2;;
;2018-05-16 00:00:00;Sunny;15;0.7;;
;2018-05-17 00:00:00;Cloudy;13.5;0;;
;2018-05-18 00:00:00;Sunny;13.5;0;;
;2018-05-19 00:00:00;Sunny;13.5;0;;
;2018-05-20 00:00:00;Sunny;15;0;;
;2018-05-21 00:00:00;Sunny;17;0.7;;
;2018-05-22 00:00:00;Sunny;16.5;2.1;;
;2018-05-23 00:00:00;Partly cloudy;16.5;4.1;;
;2018-05-24 00:00:00;Sunny;18;2.3;;
;2018-05-25 00:00:00;Cloudy;17;3.6;;
;2018-05-26 00:00:00;Mist;19;2.9;;
;2018-05-27 00:00:00;Partly cloudy;19;3.5;;
;2018-05-28 00:00:00;Partly cloudy;19.5;6.1;;
;2018-05-29 00:00:00;Partly cloudy;17.5;3.1;;
;2018-05-30 00:00:00;Cloudy;17.5;1.1;;
;2018-05-31 00:00:00;Cloudy;17;3.3;;
;2018-06-01 00:00:00;Cloudy;17.5;0.6;;
;2018-06-02 00:00:00;Sunny;18.5;0;;
;2018-06-03 00:00:00;Cloudy;19.5;9.1;;
;2018-06-04 00:00:00;Patchy rain possible;19.5;7.6;;
;2018-06-05 00:00:00;Cloudy;18;5.6;;
;2018-06-06 00:00:00;Mist;18.5;6.5;;
;2018-06-07 00:00:00;Mist;18.5;0.5;;
;2018-06-08 00:00:00;Sunny;20;4.3;;
;2018-06-09 00:00:00;Sunny;20.5;2.7;;
;2018-06-10 00:00:00;Overcast;20;7.1;;
;2018-06-11 00:00:00;Partly cloudy;16.5;5.3;;
;2018-06-12 00:00:00;Partly cloudy;16.5;1.1;;
;2018-06-13 00:00:00;Sunny;15;0;;
;2018-06-14 00:00:00;Overcast;15.5;0.2;;
;2018-06-15 00:00:00;Cloudy;17.5;0.7;;
;2018-06-16 00:00:00;Partly cloudy;16;0.2;;
;2018-06-17 00:00:00;Cloudy;15;0.2;;
;2018-06-18 00:00:00;Cloudy;17;0.1;;
;2018-06-19 00:00:00;Cloudy;18.5;0;;
;2018-06-20 00:00:00;Sunny;22;0;;
;2018-06-21 00:00:00;Partly cloudy;17;0;;
;2018-06-22 00:00:00;Sunny;15;0;;
;2018-06-23 00:00:00;Sunny;16;0;;
;2018-06-24 00:00:00;Sunny;17.5;0;;
;2018-06-25 00:00:00;Sunny;18;0;;
;2018-06-26 00:00:00;Sunny;20.5;0;;
;2018-06-27 00:00:00;Sunny;22;0;;
;2018-06-28 00:00:00;Sunny;21.5;0;;
;2018-06-29 00:00:00;Sunny;22;0.9;;
;2018-06-30 00:00:00;Sunny;24;0;;
;2018-07-01 00:00:00;Sunny;25.5;0;;
;2018-07-02 00:00:00;Overcast;22;7.3;;
;2018-07-03 00:00:00;Cloudy;20.5;3.5;;
;2018-07-04 00:00:00;Sunny;21;3.2;;
;2018-07-05 00:00:00;Partly cloudy;20;3.5;;
;2018-07-06 00:00:00;Partly cloudy;20.5;0.1;;
;2018-07-07 00:00:00;Sunny;22.5;0.3;;
;2018-07-08 00:00:00;Sunny;23;0;;
;2018-07-09 00:00:00;Sunny;22;0;;
;2018-07-10 00:00:00;Partly cloudy;20;0.3;;
;2018-07-11 00:00:00;Partly cloudy;16.5;0.1;;
;2018-07-12 00:00:00;Partly cloudy;18.5;0;;
;2018-07-13 00:00:00;Sunny;20;0;;
;2018-07-14 00:00:00;Sunny;21.5;1.4;;
;2018-07-15 00:00:00;Sunny;23;0;;
;2018-07-16 00:00:00;Sunny;22.5;1.2;;
;2018-07-17 00:00:00;Partly cloudy;19.5;0.4;;
;2018-07-18 00:00:00;Sunny;21;0;;
;2018-07-19 00:00:00;Partly cloudy;22.5;5.4;;
;2018-07-20 00:00:00;Partly cloudy;19.5;0.2;;
;2018-07-21 00:00:00;Cloudy;18.5;0;;
;2018-07-22 00:00:00;Sunny;19.5;0;;
;2018-07-23 00:00:00;Sunny;22;0;;
;2018-07-24 00:00:00;Partly cloudy;24;0.1;;
;2018-07-25 00:00:00;Sunny;24;0;;
;2018-07-26 00:00:00;Sunny;26.5;0.2;;
;2018-07-27 00:00:00;Sunny;21.5;4;;
;2018-07-28 00:00:00;Partly cloudy;19;0;;
;2018-07-29 00:00:00;Partly cloudy;19;0;;
;2018-07-30 00:00:00;Overcast;21.5;0.9;;
;2018-07-31 00:00:00;Partly cloudy;21;0.1;;
;2018-08-01 00:00:00;Sunny;21.5;0;;
;2018-08-02 00:00:00;Sunny;25;0;;
;2018-08-03 00:00:00;Sunny;26.5;0;;
;2018-08-04 00:00:00;Sunny;26;0;;
;2018-08-05 00:00:00;Sunny;25;0;;
;2018-08-06 00:00:00;Sunny;27.5;0;;
;2018-08-07 00:00:00;Sunny;25;0.1;;
;2018-08-08 00:00:00;Partly cloudy;20.5;0.2;;
;2018-08-09 00:00:00;Overcast;16.5;0.7;;
;2018-08-10 00:00:00;Sunny;16;0;;
;2018-08-11 00:00:00;Sunny;18.5;0;;
;2018-08-12 00:00:00;Sunny;21.5;0.2;;
;2018-08-13 00:00:00;Partly cloudy;19.5;0.9;;
;2018-08-14 00:00:00;Partly cloudy;18.5;0;;
;2018-08-15 00:00:00;Sunny;20;0;;
;2018-08-16 00:00:00;Sunny;21.5;0;;
;2018-08-17 00:00:00;Sunny;18.5;0;;
;2018-08-18 00:00:00;Sunny;18;0;;
;2018-08-19 00:00:00;Sunny;21;0;;
;2018-08-20 00:00:00;Cloudy;21.5;0.2;;
;2018-08-21 00:00:00;Partly cloudy;22.5;0;;
;2018-08-22 00:00:00;Sunny;24.5;0;;
;2018-08-23 00:00:00;Sunny;21.5;0.1;;
;2018-08-24 00:00:00;Partly cloudy;16.5;0;;
;2018-08-25 00:00:00;Partly cloudy;16;0.7;;
;2018-08-26 00:00:00;Partly cloudy;17.5;0;;
;2018-08-27 00:00:00;Overcast;19;0.1;;
;2018-08-28 00:00:00;Sunny;21.5;1.4;;
;2018-08-29 00:00:00;Partly cloudy;17;3.8;;
;2018-08-30 00:00:00;Overcast;16.5;0.5;;
;2018-08-31 00:00:00;Sunny;17.5;0;;
;2018-09-01 00:00:00;Sunny;19;0;;
;2018-09-02 00:00:00;Sunny;18.5;0;;
;2018-09-03 00:00:00;Sunny;19;0;;
