Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2016-04-16 00:00:00;Patchy rain possible;10.5;0.1;;
;2016-04-17 00:00:00;Patchy rain possible;11;0.7;;
;2016-04-18 00:00:00;Moderate rain at times;11.5;0.8;;
;2016-04-19 00:00:00;Patchy rain possible;11.5;0.9;;
;2016-04-20 00:00:00;Patchy rain possible;11.5;0.9;;
;2016-04-21 00:00:00;Overcast;14.5;0.2;;
;2016-04-22 00:00:00;Light rain shower;13.5;2.1;;
;2016-04-23 00:00:00;Light rain shower;9;0.8;;
;2016-04-24 00:00:00;Light rain shower;7;1.7;;
;2016-04-25 00:00:00;Cloudy;5.5;0.1;;
;2016-04-26 00:00:00;Light rain shower;6;0.8;;
;2016-04-27 00:00:00;Patchy rain possible;6.5;0.9;;
;2016-04-28 00:00:00;Cloudy;7;0.5;;
;2016-04-29 00:00:00;Light rain shower;8;2;;
;2016-04-30 00:00:00;Moderate rain;7.5;12;;
;2016-05-01 00:00:00;Sunny;8;0;;
;2016-05-02 00:00:00;Partly cloudy;10.5;0.1;;
;2016-05-03 00:00:00;Partly cloudy;11.5;0.3;;
;2016-05-04 00:00:00;Sunny;11.5;0;;
;2016-05-05 00:00:00;Partly cloudy;14;0;;
;2016-05-06 00:00:00;Patchy rain possible;15;1.3;;
;2016-05-07 00:00:00;Patchy rain possible;16;1.2;;
;2016-05-08 00:00:00;Light rain shower;17;0.8;;
;2016-05-09 00:00:00;Moderate or heavy rain in area with thunder;15;9.8;;
;2016-05-10 00:00:00;Light rain;16;8.3;;
;2016-05-11 00:00:00;Light rain shower;13.5;12.7;;
;2016-05-12 00:00:00;Moderate rain;13;12.9;;
;2016-05-13 00:00:00;Moderate rain;14;11.6;;
;2016-05-14 00:00:00;Overcast;10;1.4;;
;2016-05-15 00:00:00;Overcast;10.5;0;;
;2016-05-16 00:00:00;Light rain shower;12.5;0.2;;
;2016-05-17 00:00:00;Patchy rain possible;11.5;0.3;;
;2016-05-18 00:00:00;Overcast;11.5;0.1;;
;2016-05-19 00:00:00;Moderate rain at times;12.5;1.6;;
;2016-05-20 00:00:00;Moderate rain at times;12.5;2;;
;2016-05-21 00:00:00;Heavy rain at times;14;2.8;;
;2016-05-22 00:00:00;Heavy rain;11.5;19.9;;
;2016-05-23 00:00:00;Patchy light rain;12;6.4;;
;2016-05-24 00:00:00;Patchy rain possible;12;1.4;;
;2016-05-25 00:00:00;Partly cloudy;13.5;0.7;;
;2016-05-26 00:00:00;Sunny;13;0.1;;
;2016-05-27 00:00:00;Mist;15;1.4;;
;2016-05-28 00:00:00;Patchy rain possible;16.5;11.5;;
;2016-05-29 00:00:00;Moderate rain;15;18.2;;
;2016-05-30 00:00:00;Moderate rain;13.5;18.3;;
;2016-05-31 00:00:00;Heavy rain;15.5;34;;
;2016-06-01 00:00:00;Light rain shower;15;3.2;;
;2016-06-02 00:00:00;Light rain shower;14;2.4;;
;2016-06-03 00:00:00;Overcast;14;0.7;;
;2016-06-04 00:00:00;Overcast;14.5;0.1;;
;2016-06-05 00:00:00;Cloudy;15.5;0.1;;
;2016-06-06 00:00:00;Partly cloudy;18;0.2;;
;2016-06-07 00:00:00;Partly cloudy;19;0.8;;
;2016-06-08 00:00:00;Partly cloudy;19;0;;
;2016-06-09 00:00:00;Sunny;19;0;;
;2016-06-10 00:00:00;Overcast;15;0;;
;2016-06-11 00:00:00;Overcast;16;3;;
;2016-06-12 00:00:00;Overcast;15.5;2.7;;
